|6.6.6
PT_inf_gloss16_2.tab                                                                                
           1
n,alqt. 
  0.000000000000000E+000
  0.000000000000000E+000
           0
           5
n,alqt.        node#          mu[O2],J/mol   mu[S2],J/mol   mu[C],J/mol   
  16.3000        164.000       -360423.       -134616.       -74928.5     
  16.4000        165.000       -360470.       -134476.       -74881.3     
  16.5000        166.000       -360470.       -134476.       -74881.3     
  16.6000        167.000       -360470.       -133405.       -74881.3     
  16.7000        168.000       -360485.       -133361.       -74866.4     
  16.8000        169.000       -360504.       -133304.       -74847.4     
  16.9000        170.000       -360504.       -133304.       -74847.4     
  17.0000        171.000       -360875.       -132186.       -74472.0     
  17.1000        172.000       -360875.       -132186.       -74472.0     
  17.2000        173.000       -360875.       -132186.       -74472.0     
  17.3000        174.000       -360875.       -132186.       -74472.0     
  17.4000        175.000       -360887.       -132149.       -74459.5     
  17.5000        176.000       -360887.       -132149.       -74459.5     
  17.6000        177.000       -360923.       -132040.       -74423.0     
  17.7000        178.000       -360923.       -132040.       -74423.0     
  17.8000        179.000       -360923.       -132040.       -74423.0     
  17.9000        180.000       -360923.       -132040.       -74423.0     
  18.0000        181.000       -360923.       -132040.       -74423.0     
  18.1000        182.000       -360925.       -132031.       -74421.5     
  18.2000        183.000       -360925.       -132030.       -74421.5     
  18.3000        184.000       -360925.       -132030.       -74421.5     
  18.4000        185.000       -360925.       -132030.       -74421.5     
  18.5000        186.000       -360925.       -132030.       -74421.5     
  18.6000        187.000       -360925.       -132013.       -74421.5     
  18.7000        188.000       -361414.       -129967.       -73926.7     
  18.8000        189.000       -360887.       -132292.       -74459.4     
  18.9000        190.000       -360923.       -132183.       -74422.9     
  19.0000        191.000       -360923.       -132183.       -74422.9     
  19.1000        192.000       -360923.       -132183.       -74422.9     
  19.2000        193.000       -360923.       -132183.       -74422.9     
  19.3000        194.000       -360923.       -132183.       -74422.9     
  19.4000        195.000       -360923.       -132183.       -74422.9     
  19.5000        196.000       -361898.       -127567.       -73438.5     
  19.6000        197.000       -362098.       -125873.       -73236.2     
  19.7000        198.000       -362373.       -122918.       -72957.5     
  19.8000        199.000       -362373.       -122476.       -72957.5     
  19.9000        200.000       -371139.       -93025.6       -64100.9     
  20.0000        201.000       -371142.       -90834.9       -64180.3     
  20.1000        202.000       -371605.       -85838.0       -63686.1     
  20.2000        203.000       -371605.       -84806.5       -63686.1     
  20.3000        204.000       -371605.       -84806.5       -63686.1     
  20.4000        205.000       -371605.       -84806.5       -63686.1     
  20.5000        206.000       -371605.       -84806.5       -63686.1     
  20.6000        207.000       -371605.       -84806.5       -63686.1     
  20.7000        208.000       -371605.       -84806.5       -63686.1     
  20.8000        209.000       -371605.       -84806.5       -63686.1     
  20.9000        210.000       -371605.       -84806.5       -63686.1     
  21.0000        211.000       -371605.       -52817.8       -63717.4     
  21.1000        212.000       -369614.       -51125.6       -65719.2     
  21.2000        213.000       -369614.       -51125.6       -65719.2     
  21.3000        214.000       -369614.       -51125.6       -65719.2     
  21.4000        215.000       -369614.       -51125.6       -65719.2     
  21.5000        216.000       -369614.       -51125.6       -65719.2     
  21.6000        217.000       -369614.       -51125.6       -65719.2     
  21.7000        218.000       -369614.       -51125.6       -65719.2     
  21.8000        219.000       -369614.       -51125.6       -65719.2     
  21.9000        220.000       -366105.       -48493.5       -69227.6     
  22.0000        221.000       -344405.       -32219.0       -90586.0     
  22.1000        222.000       -333183.       -23802.5       -101616.     
  22.2000        223.000       -333183.       -23802.5       -101616.     
  22.3000        224.000       -333183.       -23802.5       -101616.     
  22.4000        225.000       -333183.       -23802.5       -101616.     
  22.5000        226.000       -333183.       -23802.5       -101616.     
  22.6000        227.000       -333183.       -23802.5       -101616.     
  22.7000        228.000       -331674.       -22670.1       -103103.     
  22.8000        229.000       -331674.       -22670.1       -103103.     
